# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # 
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # #                                                           # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #                                                                                                                                                                                                                             
# # # # # # # # # # # # # #                                                           # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #                                                                      
I                                                                                     # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
I                                                                                     # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # 
# # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #      
# # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #     
# # # # # # # # # #                                                                                         # # # # # # # # # # # # # # # # # # # # # # # # # # # 
# # # # # # # # # #                                                                                         # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # #                                                                                         # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # #                                                                                         # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                   # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # #                                                                                 # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #                                                 # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #                                                 # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #                                                 # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #                                                 # # # # # # # # # # # # # # # # # # # #
# # #                                                                                                                     # # # # # # # # # # # # # # # # # # # #
# # #                                                                                                                     # # # # # # # # # # # # # # # # # # # #
# # #                                                         # # # # # # # # # # #                                       # # # # # # # # # # # # # # # # # # # #
# # #                                                         # # # # # # # # # # #                                       # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # #                                       # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # #                                       # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # #                                       # # # # # # # # # # # # # # # # # # # #                                                                                                                                                       
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # #                                       # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # #                                                                             E
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # #                                                                             E
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # 
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #     
# # # # # # # # # # # # # # # # # # # #                       # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # 
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #   
